Time,Channel A,Channel B
(ms),(V),(V)

-0.40005358,-0.01666311,-0.00042726
-0.40001358,-0.00750755,-0.00463881
-0.39997358,-0.00854518,-0.00067141
-0.39993358,-0.01440474,-0.00323496
-0.39989358,-0.01159703,0.00225837
-0.39985358,-0.01086459,0.00201422
-0.39981358,-0.01477096,-0.00207526
-0.39977358,-0.01220740,0.00189215
-0.39973358,-0.01086459,-0.00103763
-0.39969358,-0.01123081,-0.00347911
-0.39965358,-0.00946074,0.00012207
-0.39961358,-0.00982696,-0.00183111
-0.39957358,-0.01440474,0.00073244
-0.39953358,-0.01416059,-0.00512711
-0.39949358,-0.01184118,0.00598163
-0.39945358,-0.01641896,-0.00158696
-0.39941358,-0.01477096,0.00378430
-0.39937358,-0.01098666,0.00048830
-0.39933358,-0.01123081,-0.00170904
-0.39929358,-0.01220740,-0.00018311
-0.39925358,-0.01159703,-0.00170904
-0.39921358,-0.01452681,-0.00158696
-0.39917358,-0.01055940,0.00036622
-0.39913358,-0.01568651,-0.00231941
-0.39909358,-0.00805689,-0.00042726
-0.39905358,-0.01403851,0.00811792
-0.39901358,-0.01440474,0.00506607
-0.39897358,-0.00561541,0.00073244
-0.39893358,-0.01391644,0.00317393
-0.39889358,-0.01501511,0.00012207
-0.39885358,-0.01544237,0.00225837
-0.39881358,-0.01721244,-0.00384533
-0.39877358,-0.01300089,-0.00091556
-0.39873358,-0.01654103,0.00036622
-0.39869358,-0.01019318,-0.00018311
-0.39865358,-0.01110874,-0.00195319
-0.39861358,-0.00793481,0.00201422
-0.39857358,-0.00701926,0.00012207
-0.39853358,-0.01068148,-0.00091556
-0.39849358,-0.01641896,-0.00091556
-0.39845358,-0.01086459,-0.00256356
-0.39841358,-0.00915555,0.00329600
-0.39837358,-0.01043733,-0.00616474
-0.39833358,-0.01525925,-0.00347911
-0.39829358,-0.01135289,0.00518815
-0.39825358,-0.00891141,0.00061037
-0.39821358,-0.01696829,-0.00042726
-0.39817358,-0.00903348,0.00000000
-0.39813358,-0.00726341,-0.00219733
-0.39809358,-0.00842311,-0.00054933
-0.39805358,-0.00946074,-0.00280770
-0.39801358,-0.00372326,-0.00524918
-0.39797358,-0.01336711,-0.00256356
-0.39793358,-0.01239051,-0.00030519
-0.39789358,-0.00933866,-0.00537126
-0.39785358,-0.01184118,0.00134281
-0.39781358,-0.01159703,-0.00408948
-0.39777358,-0.01135289,-0.00054933
-0.39773358,-0.01123081,-0.00030519
-0.39769358,-0.00946074,0.00061037
-0.39765358,-0.00891141,-0.00244148
-0.39761358,-0.00958281,-0.00103763
-0.39757358,-0.01287881,-0.00042726
-0.39753358,-0.00726341,0.00073244
-0.39749358,-0.00524918,-0.00421155
-0.39745358,-0.01593066,0.00097659
-0.39741358,-0.01696829,-0.00585955
-0.39737358,-0.01043733,-0.00183111
-0.39733358,-0.00854518,-0.00421155
-0.39729358,-0.00915555,0.00469985
-0.39725358,-0.01300089,-0.00207526
-0.39721358,-0.01086459,0.00213630
-0.39717358,-0.00549333,-0.00244148
-0.39713358,-0.01391644,-0.00738548
-0.39709358,-0.00958281,0.00213630
-0.39705358,-0.01098666,-0.00067141
-0.39701358,-0.01568651,0.00061037
-0.39697358,-0.01580859,-0.00408948
-0.39693358,-0.01220740,0.00073244
-0.39689358,-0.00500504,-0.00689718
-0.39685358,-0.00915555,-0.00445570
-0.39681358,-0.01403851,-0.00372326
-0.39677358,-0.01403851,-0.00677511
-0.39673358,-0.00915555,-0.00445570
-0.39669358,-0.01336711,-0.00280770
-0.39665358,-0.00665304,-0.00585955
-0.39661358,-0.01513718,-0.00079348
-0.39657358,-0.01171911,-0.00653096
-0.39653358,-0.00750755,-0.00018311
-0.39649358,-0.01556444,-0.00488296
-0.39645358,-0.00280770,0.00073244
-0.39641358,-0.01147496,-0.00158696
-0.39637358,-0.00958281,-0.00561541
-0.39633358,-0.01641896,-0.00488296
-0.39629358,-0.01019318,-0.00158696
-0.39625358,-0.01464888,-0.00091556
-0.39621358,-0.00903348,0.00274667
-0.39617358,-0.00817896,0.00024415
-0.39613358,-0.00866726,0.00177007
-0.39609358,-0.01287881,-0.00195319
-0.39605358,-0.00805689,-0.00219733
-0.39601358,-0.00561541,0.00122074
-0.39597358,-0.00689718,-0.00067141
-0.39593358,-0.00323496,0.00000000
-0.39589358,-0.01556444,0.00036622
-0.39585358,-0.01110874,-0.00256356
-0.39581358,-0.01196326,-0.00524918
-0.39577358,-0.01086459,-0.00128178
-0.39573358,-0.00854518,-0.00628681
-0.39569358,-0.01055940,0.00024415
