Time,Channel A,Channel B
(ms),(V),(V)

-0.39338171,0.02813807,0.01367229
-0.39334171,0.02099673,0.01721244
-0.39330171,0.01873836,0.01812799
-0.39326171,0.01721244,0.02221747
-0.39322171,0.02227851,0.02154607
-0.39318171,0.01605274,0.01434370
-0.39314171,0.02343822,0.01483200
-0.39310171,0.02294992,0.01306192
-0.39306171,0.02179022,0.02081362
-0.39302171,0.02319407,0.01568651
-0.39298171,0.02111881,0.01886044
-0.39294171,0.01617481,0.02258370
-0.39290171,0.02404859,0.01355022
-0.39286171,0.01648000,0.01556444
-0.39282171,0.02581866,0.01709037
-0.39278171,0.02075259,0.01739555
-0.39274171,0.02276681,0.01403851
-0.39270171,0.01684622,0.01800592
-0.39266171,0.02063051,0.01763970
-0.39262171,0.01989807,0.02002014
-0.39258171,0.01947081,0.01458785
-0.39254171,0.02026429,0.01886044
-0.39250171,0.02014222,0.02166814
-0.39246171,0.01812799,0.01672414
-0.39242171,0.02087466,0.01635792
-0.39238171,0.02294992,0.01825007
-0.39234171,0.02166814,0.02294992
-0.39230171,0.02441481,0.01623585
-0.39226171,0.02392651,0.01886044
-0.39222171,0.01770074,0.02069155
-0.39218171,0.01593066,0.01422163
-0.39214171,0.02392651,0.02343822
-0.39210171,0.02459792,0.01751762
-0.39206171,0.01989807,0.02002014
-0.39202171,0.02087466,0.01190222
-0.39198171,0.02722251,0.02014222
-0.39194171,0.01873836,0.01483200
-0.39190171,0.01696829,0.02233955
-0.39186171,0.01709037,0.01776177
-0.39182171,0.02130192,0.01940977
-0.39178171,0.01947081,0.01507614
-0.39174171,0.02368236,0.01434370
-0.39170171,0.01977599,0.01116977
-0.39166171,0.01495407,0.01672414
-0.39162171,0.02002014,0.01709037
-0.39158171,0.02050844,0.01611377
-0.39154171,0.01947081,0.01178014
-0.39150171,0.02356029,0.01861629
-0.39146171,0.02099673,0.01965392
-0.39142171,0.01721244,0.01940977
-0.39138171,0.01965392,0.01074252
-0.39134171,0.01745659,0.01940977
-0.39130171,0.01733451,0.01251259
-0.39126171,0.01770074,0.01269570
-0.39122171,0.01757866,0.01013215
-0.39118171,0.01965392,0.01928770
-0.39114171,0.02142399,0.01672414
-0.39110171,0.01947081,0.02282785
-0.39106171,0.01800592,0.01623585
-0.39102171,0.01989807,0.02038636
-0.39098171,0.01965392,0.01953185
-0.39094171,0.02087466,0.02105777
-0.39090171,0.01519822,0.01355022
-0.39086171,0.02038636,0.01544237
-0.39082171,0.02002014,0.01837214
-0.39078171,0.01922666,0.01763970
-0.39074171,0.02520829,0.01470992
-0.39070171,0.01440474,0.02093570
-0.39066171,0.02075259,0.01763970
-0.39062171,0.02130192,0.01800592
-0.39058171,0.02050844,0.01953185
-0.39054171,0.01733451,0.02166814
-0.39050171,0.02392651,0.01800592
-0.39046171,0.01770074,0.02002014
-0.39042171,0.02392651,0.01776177
-0.39038171,0.02459792,0.01544237
-0.39034171,0.01977599,0.01721244
-0.39030171,0.02111881,0.01403851
-0.39026171,0.02520829,0.01800592
-0.39022171,0.02002014,0.01648000
-0.39018171,0.01568651,0.01940977
-0.39014171,0.02276681,0.02026429
-0.39010171,0.01922666,0.01812799
-0.39006171,0.02075259,0.01812799
-0.39002171,0.02002014,0.01763970
-0.38998171,0.02319407,0.01763970
-0.38994171,0.02063051,0.01776177
-0.38990171,0.01470992,0.02356029
-0.38986171,0.01934873,0.01788385
-0.38982171,0.01910459,0.01812799
-0.38978171,0.01849422,0.01696829
-0.38974171,0.01849422,0.01825007
-0.38970171,0.01635792,0.01800592
-0.38966171,0.01672414,0.02374340
-0.38962171,0.01934873,0.01403851
-0.38958171,0.01745659,0.01873836
-0.38954171,0.01593066,0.01507614
-0.38950171,0.02264473,0.02166814
-0.38946171,0.01861629,0.01568651
-0.38942171,0.02130192,0.02203436
-0.38938171,0.01965392,0.02203436
-0.38934171,0.01696829,0.01788385
-0.38930171,0.02191229,0.01648000
-0.38926171,0.02294992,0.01928770
-0.38922171,0.02166814,0.01940977
-0.38918171,0.02179022,0.01330607
-0.38914171,0.02240059,0.01648000
-0.38910171,0.02343822,0.02270577
-0.38906171,0.02441481,0.01837214
-0.38902171,0.02380444,0.01660207
-0.38898171,0.01849422,0.01837214
-0.38894171,0.02166814,0.01635792
-0.38890171,0.01910459,0.01916562
-0.38886171,0.02343822,0.01739555
-0.38882171,0.02087466,0.01965392
-0.38878171,0.02154607,0.01470992
-0.38874171,0.02484207,0.01940977
-0.38870171,0.01544237,0.02002014
-0.38866171,0.02294992,0.01812799
-0.38862171,0.02203436,0.01190222
-0.38858171,0.02026429,0.01739555
-0.38854171,0.02227851,0.01648000
-0.38850171,0.02294992,0.02026429
-0.38846171,0.01873836,0.01776177
-0.38842171,0.02087466,0.01660207
-0.38838171,0.01849422,0.01672414
-0.38834171,0.02075259,0.02056948
-0.38830171,0.01568651,0.01495407
-0.38826171,0.02417066,0.01696829
-0.38822171,0.02179022,0.02026429
-0.38818171,0.01757866,0.02447584
-0.38814171,0.02166814,0.02191229
-0.38810171,0.02533036,0.02179022
