Time,Channel A,Channel B
(ms),(V),(V)

-0.40006800,-0.00524918,0.00317393
-0.40002800,-0.00268563,-0.00103763
-0.39998800,-0.01184118,0.00164800
-0.39994800,-0.01245155,0.00494400
-0.39990800,-0.00994903,-0.00207526
-0.39986800,-0.00524918,-0.00689718
-0.39982800,-0.00866726,-0.00054933
-0.39978800,-0.01043733,-0.00207526
-0.39974800,-0.00738548,0.00378430
-0.39970800,-0.01324503,0.00036622
-0.39966800,-0.01007111,-0.00079348
-0.39962800,-0.00622578,0.00048830
-0.39958800,-0.00903348,-0.00018311
-0.39954800,-0.00927763,-0.00323496
-0.39950800,-0.00793481,0.00250252
-0.39946800,-0.00750755,0.00012207
-0.39942800,-0.01043733,0.00000000
-0.39938800,-0.01080355,-0.00830104
-0.39934800,-0.01245155,0.00555437
-0.39930800,-0.01275674,0.00177007
-0.39926800,-0.01031526,-0.00158696
-0.39922800,-0.00830104,-0.00616474
-0.39918800,-0.00793481,0.00134281
-0.39914800,-0.00793481,0.00122074
-0.39910800,-0.00994903,0.00073244
-0.39906800,-0.01110874,0.00378430
-0.39902800,-0.01275674,0.00225837
-0.39898800,-0.00878933,0.00122074
-0.39894800,-0.00891141,-0.00207526
-0.39890800,-0.00927763,0.00250252
-0.39886800,-0.00830104,-0.00030519
-0.39882800,-0.00793481,-0.00115970
-0.39878800,-0.01043733,-0.00598163
-0.39874800,-0.00994903,0.00213630
-0.39870800,-0.00866726,-0.00079348
-0.39866800,-0.00994903,0.00482192
-0.39862800,-0.00970489,-0.00561541
-0.39858800,-0.00762963,-0.00170904
-0.39854800,-0.00915555,-0.00433363
-0.39850800,-0.01147496,0.00109867
-0.39846800,-0.01068148,-0.00335704
-0.39842800,-0.00665304,-0.00231941
-0.39838800,-0.00762963,-0.00292978
-0.39834800,-0.00195319,-0.00268563
-0.39830800,-0.00640889,0.00109867
-0.39826800,-0.01770074,-0.00323496
-0.39822800,-0.00939970,-0.00573748
-0.39818800,-0.00817896,0.00000000
-0.39814800,-0.01397748,-0.00268563
-0.39810800,-0.01068148,0.00225837
-0.39806800,-0.00878933,-0.00115970
-0.39802800,-0.00677511,-0.00018311
-0.39798800,-0.00982696,-0.00103763
-0.39794800,-0.00549333,-0.00067141
-0.39790800,-0.00830104,-0.00140385
-0.39786800,-0.00970489,-0.00268563
-0.39782800,-0.00866726,0.00024415
-0.39778800,-0.01843318,-0.00445570
-0.39774800,-0.01147496,-0.00067141
-0.39770800,-0.01092563,0.00036622
-0.39766800,-0.00360118,-0.00323496
-0.39762800,-0.00854518,-0.00091556
-0.39758800,-0.01092563,0.00494400
-0.39754800,-0.01135289,-0.00256356
-0.39750800,-0.01055940,0.00097659
-0.39746800,-0.01843318,0.00213630
-0.39742800,-0.00927763,0.00073244
-0.39738800,-0.00677511,-0.00573748
-0.39734800,-0.01617481,-0.00219733
-0.39730800,-0.01019318,-0.00488296
-0.39726800,-0.00903348,0.00012207
-0.39722800,-0.00970489,-0.00128178
-0.39718800,-0.00726341,0.00073244
-0.39714800,-0.00927763,0.00152593
-0.39710800,-0.00891141,0.00457778
-0.39706800,-0.01019318,-0.00445570
-0.39702800,-0.00903348,-0.00170904
-0.39698800,-0.01080355,-0.00042726
-0.39694800,-0.00970489,0.00164800
-0.39690800,-0.00750755,-0.00140385
-0.39686800,-0.00738548,-0.00183111
-0.39682800,-0.01019318,-0.00140385
-0.39678800,-0.01171911,0.00262459
-0.39674800,-0.01043733,-0.00408948
-0.39670800,-0.01593066,-0.00079348
-0.39666800,-0.01080355,0.00073244
-0.39662800,-0.00701926,-0.00549333
-0.39658800,-0.00854518,0.00048830
-0.39654800,-0.00817896,-0.00396741
-0.39650800,-0.00128178,0.00439467
-0.39646800,-0.01123081,-0.00311289
-0.39642800,-0.00982696,0.00329600
-0.39638800,-0.00689718,-0.00445570
-0.39634800,-0.01580859,-0.00054933
-0.39630800,-0.01287881,-0.00103763
-0.39626800,-0.00994903,-0.00323496
-0.39622800,-0.01428266,-0.00054933
-0.39618800,-0.01257363,-0.00268563
-0.39614800,-0.01019318,0.00225837
-0.39610800,-0.01019318,-0.00067141
-0.39606800,-0.00640889,-0.00512711
-0.39602800,-0.01409955,0.00683615
-0.39598800,-0.00805689,0.00305185
-0.39594800,-0.00610370,0.00469985
-0.39590800,-0.01525925,-0.00360118
-0.39586800,-0.01031526,-0.00067141
-0.39582800,-0.00842311,0.00177007
-0.39578800,-0.00360118,0.00469985
-0.39574800,-0.00775170,0.00238044
-0.39570800,-0.00750755,0.00238044
-0.39566800,-0.01031526,-0.00500504
