Time,Channel A,Channel B
(ms),(V),(V)

-0.39343428,0.00683615,0.01171911
-0.39339428,0.00726341,0.01513718
-0.39335428,0.00824000,0.02105777
-0.39331428,0.00646992,0.01641896
-0.39327428,0.00531022,0.01361126
-0.39323428,0.00341807,0.01733451
-0.39319428,0.00506607,0.01159703
-0.39315428,0.00915555,0.00891141
-0.39311428,0.00646992,0.01568651
-0.39307428,-0.00219733,0.01721244
-0.39303428,0.00250252,0.01007111
-0.39299428,0.01043733,0.01440474
-0.39295428,0.00329600,0.01568651
-0.39291428,0.00646992,0.01605274
-0.39287428,0.00531022,0.01312296
-0.39283428,0.00787378,0.01654103
-0.39279428,0.00598163,0.01745659
-0.39275428,0.00799585,0.00939970
-0.39271428,0.00152593,0.01361126
-0.39267428,0.00250252,0.01385540
-0.39263428,0.00543230,0.01275674
-0.39259428,0.00903348,0.01080355
-0.39255428,0.00598163,0.01208533
-0.39251428,-0.00207526,0.01263466
-0.39247428,0.00292978,0.02050844
-0.39243428,0.01196326,0.01733451
-0.39239428,0.00646992,0.01232948
-0.39235428,0.00494400,0.00994903
-0.39231428,0.00903348,0.01275674
-0.39227428,0.00555437,0.00824000
-0.39223428,0.00469985,0.01208533
-0.39219428,0.00305185,0.01196326
-0.39215428,0.00646992,0.01263466
-0.39211428,0.00469985,0.01666311
-0.39207428,0.00878933,0.01171911
-0.39203428,0.00671407,0.01440474
-0.39199428,0.00317393,0.01947081
-0.39195428,0.00097659,0.01709037
-0.39191428,0.00152593,0.01440474
-0.39187428,0.00390637,0.01019318
-0.39183428,0.00799585,0.01721244
-0.39179428,0.00061037,0.01123081
-0.39175428,0.01019318,0.01403851
-0.39171428,0.00531022,0.01605274
-0.39167428,-0.00140385,0.01684622
-0.39163428,0.00598163,0.01324503
-0.39159428,0.00531022,0.01440474
-0.39155428,0.00555437,0.01232948
-0.39151428,0.00659200,0.01348918
-0.39147428,0.00567644,0.01654103
-0.39143428,-0.00103763,0.01171911
-0.39139428,0.00329600,0.01568651
-0.39135428,0.00250252,0.01007111
-0.39131428,0.00445570,0.01019318
-0.39127428,0.00634785,0.01666311
-0.39123428,0.00317393,0.01348918
-0.39119428,0.00152593,0.01208533
-0.39115428,0.00329600,0.01782281
-0.39111428,-0.00335704,0.01806696
-0.39107428,0.00305185,0.01373333
-0.39103428,-0.00018311,0.01263466
-0.39099428,0.00402844,0.01654103
-0.39095428,0.00201422,0.01287881
-0.39091428,0.00988800,0.01782281
-0.39087428,0.00555437,0.01245155
-0.39083428,-0.00170904,0.01709037
-0.39079428,0.00262459,0.00671407
-0.39075428,-0.00170904,0.01733451
-0.39071428,-0.00195319,0.01245155
-0.39067428,0.00567644,0.01464888
-0.39063428,-0.00030519,0.01641896
-0.39059428,0.00378430,0.01068148
-0.39055428,-0.00323496,0.00927763
-0.39051428,0.00213630,0.00982696
-0.39047428,0.00238044,0.01782281
-0.39043428,0.00457778,0.02063051
-0.39039428,0.00305185,0.00903348
-0.39035428,-0.00103763,0.01428266
-0.39031428,0.00469985,0.00952178
-0.39027428,0.00598163,0.01300089
-0.39023428,0.00390637,0.01208533
-0.39019428,0.00555437,0.01544237
-0.39015428,0.00610370,0.01934873
-0.39011428,0.00750755,0.01312296
-0.39007428,0.00671407,0.01568651
-0.39003428,0.00555437,0.01312296
-0.38999428,0.00250252,0.00903348
-0.38995428,0.00415052,0.01245155
-0.38991428,0.00305185,0.01348918
-0.38987428,0.00848415,0.01043733
-0.38983428,0.00354015,0.01361126
-0.38979428,0.00201422,0.01043733
-0.38975428,0.00000000,0.01416059
-0.38971428,0.00189215,0.00915555
-0.38967428,0.00250252,0.01605274
