Time,Channel A,Channel B
(ms),(V),(V)

-0.40005096,0.01965392,0.01586962
-0.40001096,0.01898251,0.01849422
-0.39997096,0.02087466,0.01739555
-0.39993096,0.01788385,0.02002014
-0.39989096,0.02282785,0.01330607
-0.39985096,0.02166814,0.01544237
-0.39981096,0.02294992,0.01190222
-0.39977096,0.02380444,0.01495407
-0.39973096,0.01873836,0.01532029
-0.39969096,0.01977599,0.02105777
-0.39965096,0.02050844,0.01586962
-0.39961096,0.02569658,0.01953185
-0.39957096,0.02191229,0.01446577
-0.39953096,0.02105777,0.01928770
-0.39949096,0.02142399,0.01696829
-0.39945096,0.01556444,0.01776177
-0.39941096,0.02038636,0.01776177
-0.39937096,0.01556444,0.01916562
-0.39933096,0.01721244,0.01574755
-0.39929096,0.01812799,0.01904355
-0.39925096,0.02227851,0.01470992
-0.39921096,0.01910459,0.02069155
-0.39917096,0.02063051,0.00860622
-0.39913096,0.02166814,0.01861629
-0.39909096,0.02343822,0.02014222
-0.39905096,0.02392651,0.01391644
-0.39901096,0.01910459,0.02044740
-0.39897096,0.02087466,0.01379437
-0.39893096,0.01672414,0.01763970
-0.39889096,0.02026429,0.01879940
-0.39885096,0.01989807,0.02221747
-0.39881096,0.01733451,0.01257363
-0.39877096,0.02484207,0.02197333
-0.39873096,0.02002014,0.01367229
-0.39869096,0.02545244,0.01507614
-0.39865096,0.01940977,0.01788385
-0.39861096,0.02227851,0.01470992
-0.39857096,0.02600177,0.01751762
-0.39853096,0.02154607,0.01965392
-0.39849096,0.01953185,0.01281777
-0.39845096,0.02380444,0.01599170
-0.39841096,0.02404859,0.01483200
-0.39837096,0.01776177,0.01379437
-0.39833096,0.01922666,0.01318400
-0.39829096,0.02014222,0.01916562
-0.39825096,0.01812799,0.01001007
-0.39821096,0.02368236,0.01599170
-0.39817096,0.02014222,0.01470992
-0.39813096,0.02130192,0.02154607
-0.39809096,0.02203436,0.01367229
-0.39805096,0.01849422,0.01483200
-0.39801096,0.02105777,0.01861629
-0.39797096,0.02252266,0.02093570
-0.39793096,0.02435377,0.01214637
-0.39789096,0.01696829,0.01763970
-0.39785096,0.02087466,0.01226844
-0.39781096,0.02343822,0.01507614
-0.39777096,0.02063051,0.02282785
-0.39773096,0.01544237,0.01574755
-0.39769096,0.02392651,0.02337718
-0.39765096,0.01660207,0.01379437
-0.39761096,0.01837214,0.01239051
-0.39757096,0.01800592,0.02130192
-0.39753096,0.02087466,0.01367229
-0.39749096,0.02075259,0.01916562
-0.39745096,0.02471999,0.01214637
-0.39741096,0.01873836,0.01672414
-0.39737096,0.01922666,0.01409955
-0.39733096,0.01721244,0.01648000
-0.39729096,0.02014222,0.01763970
-0.39725096,0.02331614,0.01434370
-0.39721096,0.02075259,0.01648000
-0.39717096,0.01428266,0.01532029
-0.39713096,0.01532029,0.02258370
-0.39709096,0.02166814,0.01672414
-0.39705096,0.01684622,0.01495407
-0.39701096,0.01355022,0.01904355
-0.39697096,0.02087466,0.01763970
-0.39693096,0.01849422,0.02185125
-0.39689096,0.02252266,0.01940977
-0.39685096,0.01898251,0.01318400
-0.39681096,0.02014222,0.01879940
-0.39677096,0.01873836,0.02246162
-0.39673096,0.02105777,0.01269570
-0.39669096,0.02002014,0.01696829
-0.39665096,0.02087466,0.01574755
-0.39661096,0.02661214,0.01800592
-0.39657096,0.01849422,0.01062044
-0.39653096,0.01873836,0.02459792
-0.39649096,0.01837214,0.01776177
-0.39645096,0.02063051,0.01727348
-0.39641096,0.01953185,0.01367229
-0.39637096,0.02002014,0.01788385
-0.39633096,0.02087466,0.01849422
-0.39629096,0.01953185,0.01434370
-0.39625096,0.02612384,0.01800592
-0.39621096,0.01568651,0.02044740
-0.39617096,0.01800592,0.01672414
-0.39613096,0.02191229,0.01483200
-0.39609096,0.01696829,0.01190222
-0.39605096,0.02240059,0.01788385
-0.39601096,0.02166814,0.02056948
-0.39597096,0.01568651,0.01684622
-0.39593096,0.01635792,0.01446577
-0.39589096,0.02087466,0.01446577
-0.39585096,0.01544237,0.01586962
-0.39581096,0.02520829,0.01544237
-0.39577096,0.01849422,0.01599170
-0.39573096,0.02710044,0.01257363
-0.39569096,0.02050844,0.01611377
-0.39565096,0.01776177,0.01409955
-0.39561096,0.02105777,0.01318400
-0.39557096,0.02075259,0.01574755
-0.39553096,0.02447584,0.01812799
-0.39549096,0.02130192,0.01391644
-0.39545096,0.01745659,0.01849422
-0.39541096,0.02319407,0.01904355
-0.39537096,0.01757866,0.01562548
-0.39533096,0.01544237,0.01379437
-0.39529096,0.02142399,0.01989807
