TIME,CH1,CH2
-1.13E-03,-0.03,-0.02
-1.13E-03,0.01,-0.01
-1.13E-03,-0.01,-0.01
-1.13E-03,-0.02,-0.01
-1.13E-03,-0.01,-0.02
-1.12E-03,-0.01,-0.02
-1.12E-03,-0.03,-0.01
-1.12E-03,-0.02,-0.04
-1.12E-03,-0.01,-0.02
-1.12E-03,-0.01,-0.01
-1.12E-03,-0.02,-0.03
-1.12E-03,0,-0.03
-1.12E-03,-0.02,-0.02
-1.12E-03,-0.03,-0.02
-1.12E-03,-0.03,-0.02
-1.12E-03,-0.03,-0.02
-1.12E-03,-0.02,-0.02
-1.12E-03,-0.02,-0.02
-1.12E-03,-0.02,-0.02
-1.12E-03,-0.02,-0.03
-1.12E-03,0,-0.01
-1.12E-03,-0.02,-0.02
-1.12E-03,-0.02,-0.02
-1.12E-03,0,-0.02
-1.12E-03,-0.04,-0.02
-1.12E-03,0,-0.02
-1.12E-03,-0.02,-0.04
-1.12E-03,-0.02,-0.03
-1.12E-03,-0.02,-0.03
-1.12E-03,-0.02,-0.03
-1.11E-03,0,-0.01
-1.11E-03,-0.03,-0.01
-1.11E-03,-0.01,-0.01
-1.11E-03,-0.01,-0.01
-1.11E-03,-0.02,-0.04
-1.11E-03,-0.02,-0.01
-1.11E-03,-0.02,-0.03
-1.11E-03,-0.02,-0.02
-1.11E-03,-0.01,-0.01
-1.11E-03,-0.02,-0.01
-1.11E-03,-0.01,-0.01
-1.11E-03,-0.01,-0.01
-1.11E-03,0.01,-0.02
-1.11E-03,-0.01,-0.02
-1.11E-03,-0.01,-0.01
-1.11E-03,-0.02,-0.03
-1.11E-03,-0.01,-0.01
-1.11E-03,-0.03,-0.03
-1.11E-03,-0.04,-0.03
-1.11E-03,-0.01,-0.01
-1.11E-03,-0.03,-0.02
-1.11E-03,-0.01,-0.02
-1.11E-03,-0.01,-0.01
-1.11E-03,-0.01,-0.01
-1.11E-03,-0.01,-0.02
-1.10E-03,-0.02,-0.02
-1.10E-03,-0.01,-0.01
-1.10E-03,0,-0.01
-1.10E-03,-0.01,0
-1.10E-03,-0.03,0
-1.10E-03,-0.01,-0.02
-1.10E-03,-0.04,-0.01
-1.10E-03,-0.01,-0.02
-1.10E-03,-0.03,-0.03
-1.10E-03,-0.03,-0.01
-1.10E-03,-0.01,-0.02
-1.10E-03,-0.03,-0.01
-1.10E-03,-0.02,-0.01
-1.10E-03,-0.02,-0.03
-1.10E-03,-0.02,-0.02
-1.10E-03,-0.03,-0.01
-1.10E-03,-0.03,-0.02
-1.10E-03,-0.01,-0.01
-1.10E-03,-0.02,-0.05
-1.10E-03,-0.02,-0.01
-1.10E-03,-0.01,-0.02
-1.10E-03,-0.02,-0.02
-1.10E-03,-0.01,-0.01
-1.10E-03,-0.01,-0.02
-1.10E-03,-0.02,-0.03
-1.09E-03,-0.02,-0.02
-1.09E-03,-0.02,-0.02
-1.09E-03,-0.02,-0.02
-1.09E-03,-0.04,-0.02
-1.09E-03,-0.02,-0.01
-1.09E-03,-0.03,-0.04
-1.09E-03,-0.02,-0.02
-1.09E-03,-0.01,-0.01
-1.09E-03,0,-0.01
-1.09E-03,-0.02,-0.02
-1.09E-03,-0.02,-0.03
-1.09E-03,-0.02,-0.01
-1.09E-03,-0.03,-0.04
-1.09E-03,-0.02,-0.03
-1.09E-03,-0.02,-0.03
-1.09E-03,-0.02,-0.04
-1.09E-03,-0.03,-0.03
-1.09E-03,-0.01,-0.03
-1.09E-03,0,-0.02
-1.09E-03,-0.01,-0.03
-1.09E-03,0,-0.01
-1.09E-03,-0.01,-0.02
-1.09E-03,-0.01,-0.03
-1.09E-03,-0.01,-0.01
-1.09E-03,-0.01,-0.01
-1.08E-03,-0.02,-0.02
-1.08E-03,-0.03,-0.03
-1.08E-03,-0.02,-0.01
-1.08E-03,-0.03,-0.02
-1.08E-03,-0.04,-0.02
-1.08E-03,-0.02,-0.02
-1.08E-03,-0.02,-0.02
-1.08E-03,-0.03,-0.03
-1.08E-03,-0.02,-0.02
-1.08E-03,0,-0.01
-1.08E-03,-0.03,-0.03
-1.08E-03,-0.02,-0.03
-1.08E-03,-0.01,-0.01
-1.08E-03,-0.01,-0.03
-1.08E-03,-0.01,-0.01
-1.08E-03,-0.01,-0.03
-1.08E-03,-0.01,0
-1.08E-03,-0.02,0
-1.08E-03,-0.01,-0.02
-1.08E-03,-0.01,-0.01
-1.08E-03,-0.03,-0.02
-1.08E-03,0,-0.02
-1.08E-03,-0.01,-0.01
-1.08E-03,-0.02,-0.02
-1.08E-03,0.01,0.01
-1.07E-03,-0.02,-0.05
-1.07E-03,-0.02,-0.02
-1.07E-03,-0.01,-0.01
-1.07E-03,-0.03,-0.04
-1.07E-03,-0.02,-0.02
-1.07E-03,-0.04,-0.03
-1.07E-03,-0.01,-0.03
-1.07E-03,-0.01,-0.03
-1.07E-03,-0.02,-0.02
-1.07E-03,-0.02,-0.03
-1.07E-03,0,-0.02
-1.07E-03,-0.02,-0.03
-1.07E-03,-0.02,-0.01
-1.07E-03,-0.03,-0.01
-1.07E-03,-0.02,-0.02
-1.07E-03,-0.02,-0.01
-1.07E-03,-0.01,-0.02
-1.07E-03,-0.01,-0.02
-1.07E-03,0,-0.03
-1.07E-03,-0.01,-0.03
-1.07E-03,0,-0.01
-1.07E-03,-0.01,-0.02
-1.07E-03,-0.01,0
-1.07E-03,-0.02,-0.02
-1.07E-03,-0.02,-0.03
-1.06E-03,-0.01,-0.02
-1.06E-03,-0.01,-0.05
-1.06E-03,-0.02,-0.02
-1.06E-03,0,-0.02
-1.06E-03,-0.02,-0.03
-1.06E-03,-0.01,-0.01
-1.06E-03,-0.01,-0.01
-1.06E-03,-0.03,-0.02
-1.06E-03,-0.01,0
-1.06E-03,-0.02,-0.01
-1.06E-03,-0.01,-0.02
-1.06E-03,0,-0.01
-1.06E-03,-0.01,-0.02
-1.06E-03,0,-0.02
-1.06E-03,0,-0.02
-1.06E-03,-0.02,-0.02
-1.06E-03,-0.02,-0.02
-1.06E-03,-0.01,-0.03
-1.06E-03,-0.01,-0.02
-1.06E-03,-0.02,-0.02
-1.06E-03,-0.02,-0.02
-1.06E-03,-0.01,-0.02
-1.06E-03,-0.02,-0.02
-1.06E-03,-0.02,-0.04
-1.06E-03,0,-0.02
-1.05E-03,-0.02,-0.01
-1.05E-03,-0.02,-0.01
-1.05E-03,0,-0.01
-1.05E-03,-0.02,-0.03
-1.05E-03,0,0
-1.05E-03,-0.02,-0.02
-1.05E-03,0,-0.02
-1.05E-03,-0.01,0
-1.05E-03,-0.03,-0.01
-1.05E-03,-0.01,0.01
-1.05E-03,-0.01,-0.03
-1.05E-03,-0.03,-0.02
-1.05E-03,-0.01,-0.01
-1.05E-03,-0.03,-0.02
-1.05E-03,-0.02,-0.02
-1.05E-03,-0.02,-0.02
-1.05E-03,-0.01,-0.04
-1.05E-03,-0.01,-0.03
-1.05E-03,-0.03,-0.04
-1.05E-03,0,-0.02
-1.05E-03,-0.02,-0.01
-1.05E-03,-0.01,0
-1.05E-03,-0.01,-0.03
-1.05E-03,-0.02,-0.02
-1.05E-03,-0.03,-0.02
-1.04E-03,-0.01,-0.03
-1.04E-03,-0.02,-0.01
-1.04E-03,-0.02,-0.01
-1.04E-03,-0.01,-0.01
-1.04E-03,-0.02,-0.02
-1.04E-03,-0.01,-0.02
-1.04E-03,-0.02,-0.02
-1.04E-03,-0.02,-0.04
-1.04E-03,-0.01,-0.02
-1.04E-03,0,-0.02
-1.04E-03,-0.01,-0.04
-1.04E-03,-0.03,-0.02
-1.04E-03,-0.01,-0.02
-1.04E-03,-0.01,-0.01
-1.04E-03,-0.02,-0.02
-1.04E-03,-0.02,-0.01
-1.04E-03,-0.02,-0.02
-1.04E-03,-0.02,-0.01
-1.04E-03,-0.02,-0.02
-1.04E-03,-0.02,-0.02
-1.04E-03,0,-0.03
-1.04E-03,-0.01,-0.02
-1.04E-03,-0.03,-0.02
-1.04E-03,-0.01,-0.01
-1.04E-03,-0.03,-0.02
-1.03E-03,-0.02,-0.01
-1.03E-03,-0.02,-0.01
-1.03E-03,-0.01,-0.03
-1.03E-03,-0.04,-0.03
-1.03E-03,-0.03,-0.02
-1.03E-03,-0.01,-0.04
-1.03E-03,-0.03,-0.05
-1.03E-03,-0.02,-0.01
-1.03E-03,-0.02,-0.02
-1.03E-03,0,-0.02
-1.03E-03,0,0
-1.03E-03,-0.01,-0.02
